,Experiment number,M,N,Epsilon,Integrator,E1,E2,Training Loss
139,2.0,2.0,50.0,0.001,3.0,1.1497359094874325e-05,0.0051757522710482,2.2031693312066365e-07
140,2.0,2.0,50.0,0.0,0.0,0.0993444733910712,0.1757119684701955,9.048171261879452e-05
141,2.0,2.0,50.0,0.0,1.0,0.1049125233106825,0.1832121950031451,9.376747115768958e-05
142,2.0,2.0,50.0,0.0,2.0,0.0952307014716891,0.1792776762201812,9.659484818815414e-05
143,2.0,2.0,50.0,0.0,3.0,0.092886272410766,0.1758238032177872,9.238821370173908e-05
144,2.0,2.0,500.0,0.1,0.0,0.0019309350677486,0.0677726919710677,0.0001651768171906
145,2.0,2.0,500.0,0.1,1.0,0.0017691003245103,0.0631707890256274,0.0001588295843177
146,2.0,2.0,500.0,0.1,2.0,0.0021543558386182,0.0596524552007064,0.0001616930537986
147,2.0,2.0,500.0,0.1,3.0,0.0021308993333473,0.0752343299529457,0.0001653476535768
148,2.0,2.0,500.0,0.01,0.0,1.485502124244484e-05,0.0057907785695533,1.615867740980382e-06
149,2.0,2.0,500.0,0.01,1.0,2.107836501064349e-05,0.0098407143816749,1.6656558363847091e-06
150,2.0,2.0,500.0,0.01,2.0,2.0846244851267283e-05,0.0076096494246202,2.764561324154969e-06
151,2.0,2.0,500.0,0.01,3.0,2.5822566879369327e-05,0.0083013465135796,1.98856540407537e-06
152,2.0,2.0,500.0,0.001,0.0,3.3498512180407535e-07,0.0004928007911574,1.7106570691633564e-08
153,2.0,2.0,500.0,0.001,1.0,3.321885404142127e-07,0.0005355052890486,1.6149568342051578e-08
154,2.0,2.0,500.0,0.001,2.0,1.376762219259813e-05,0.0080697483009057,7.684151832518695e-07
155,2.0,2.0,500.0,0.001,3.0,1.2837179874132664e-05,0.0079854195544861,2.276262727116194e-07
156,2.0,2.0,500.0,0.0,0.0,1.553024265056386e-07,0.0004017923236451,2.511860447385264e-10
157,2.0,2.0,500.0,0.0,1.0,8.55396035251723e-08,0.0002326327776226,1.8473560480414086e-10
158,2.0,2.0,500.0,0.0,2.0,1.26471321048054e-05,0.0067846627130524,8.85403333669207e-07
159,2.0,2.0,500.0,0.0,3.0,1.7571646831115408e-05,0.0092720841183718,2.1126283778231854e-07
160,2.0,2.0,1000.0,0.1,0.0,0.0010208478309549,0.0284105779905654,0.0001675118295462
161,2.0,2.0,1000.0,0.1,1.0,0.0015230275610633,0.0363634966687408,0.0001633533833667
162,2.0,2.0,1000.0,0.1,2.0,0.0016692159061559,0.0415028857339654,0.000170853673779
163,2.0,2.0,1000.0,0.1,3.0,0.001464760796097,0.0445671125246652,0.0001723066604118
164,2.0,2.0,1000.0,0.01,0.0,7.048786295893109e-06,0.0047415800372703,1.7408975640600633e-06
165,2.0,2.0,1000.0,0.01,1.0,7.223356460195117e-06,0.0045598673419643,1.612456040428602e-06
